Title,Address,Lat,Lng,Img_URL,Description,Rank_of_province,Link,Type,PlaceName,GoogleMapsURL
Bee Steak,"8A/E11 Thái Văn Lung, Thành phố Hồ Chí Minh Việt Nam","10,779,522","106,704,304",https://media-cdn.tripadvisor.com/media/photo-s/11/c7/7d/1f/getlstd-property-photo.jpg,200.000 ₫ - 400.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13388026-Reviews-Bee_Steak-Ho_Chi_Minh_City.html,Food,"Bee Steak 8A/E11 Thái Văn Lung, Thành phố Hồ Chí Minh Việt Nam",
Gà Cung Đình,"544/8 Lý Thường Kiệt, Phường 7, Quận Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam","107,915,574","1,066,527,376",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,380.000 ₫ - 450.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d10256957-Reviews-Ga_Cung_Dinh-Ho_Chi_Minh_City.html,Food,"Gà Cung Đình 544/8 Lý Thường Kiệt, Phường 7, Quận Tân Bình, Thành phố Hồ Chí Minh 700000 Việt Nam",
Rạn Biển,"163-165 Trần Não P.Bình An, Q.2, Thành phố Hồ Chí Minh 700000 Việt Nam","10,781,971","106,693,081",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,55 ₫ - 50.000.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13084112-Reviews-Ran_Bien-Ho_Chi_Minh_City.html,Food,"Rạn Biển 163-165 Trần Não P.Bình An, Q.2, Thành phố Hồ Chí Minh 700000 Việt Nam",
Am Dang Typhoon,"23 Dong Khoi St., District 1, Thành phố Hồ Chí Minh Việt Nam","107,760,265","1,067,031,172",https://media-cdn.tripadvisor.com/media/photo-s/23/9d/49/8d/mon-an-ngon-khong-gian.jpg,500.000 ₫ - 1.000.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21499594-Reviews-Am_Dang_Typhoon-Ho_Chi_Minh_City.html,Food,"Am Dang Typhoon 23 Dong Khoi St., District 1, Thành phố Hồ Chí Minh Việt Nam",
Phuong Quan,"203, Nguyễn Văn Thủ, Thành phố Hồ Chí Minh 700000 Việt Nam","10,787,578","1,066,968,126",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,"Kiểu Nhật, Quán rượu",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d12804556-Reviews-Phuong_Quan-Ho_Chi_Minh_City.html,Food,"Phuong Quan 203, Nguyễn Văn Thủ, Thành phố Hồ Chí Minh 700000 Việt Nam",
Coupette Saigon,"26 Đặng Thị Nhu Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam","107,693,971","1,066,972,643",https://media-cdn.tripadvisor.com/media/photo-p/1b/5e/18/d6/logo.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d20950141-Reviews-Coupette_Saigon-Ho_Chi_Minh_City.html,Food,"Coupette Saigon 26 Đặng Thị Nhu Phường Nguyễn Thái Bình, Quận 1, Thành phố Hồ Chí Minh 70000 Việt Nam",
Signature Cocktails Bar,"22 Huynh Thuc Khang, Thành phố Hồ Chí Minh 700000 Việt Nam","107,715,965","1,067,003,207",https://media-cdn.tripadvisor.com/media/photo-s/1c/42/de/af/signature-cocktails-bar.jpg,"Bữa sáng, Bữa trưa, Bữa tối, Đêm muộn, Đồ uống",,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d21369429-Reviews-Signature_Cocktails_Bar-Ho_Chi_Minh_City.html,Food,"Signature Cocktails Bar 22 Huynh Thuc Khang, Thành phố Hồ Chí Minh 700000 Việt Nam",
DARTS BAR Jammin saigon,"8A/A19 Thái Văn Lung, Thành phố Hồ Chí Minh 700000 Việt Nam","10,779,522","106,704,304",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,100 ₫ - 300 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d13836571-Reviews-DARTS_BAR_Jammin_saigon-Ho_Chi_Minh_City.html,Food,"DARTS BAR Jammin saigon 8A/A19 Thái Văn Lung, Thành phố Hồ Chí Minh 700000 Việt Nam",
Cát Đằng Coffee And More,"279 Hải Thượng Lãn Ông Phường 13, Quận 5, Thành phố Hồ Chí Minh 700000 Việt Nam","107,505,631","1,066,632,597",https://media-cdn.tripadvisor.com/media/photo-s/18/dd/00/34/cat-dang-coffee-garden.jpg,35.000 ₫ - 45.000 ₫,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d18192672-Reviews-Cat_Dang_Coffee_And_More-Ho_Chi_Minh_City.html,Food,"Cát Đằng Coffee And More 279 Hải Thượng Lãn Ông Phường 13, Quận 5, Thành phố Hồ Chí Minh 700000 Việt Nam",
Mini Bao - Hoc Mon,"157/3 Nguyễn Ảnh Thủ, Trung Chánh, Hóc Môn, Thành phố Hồ Chí Minh Việt Nam","108,613,722","1,066,112,428",https://tuyensinh.uit.edu.vn/sites/default/files/uploads/files/dai-hoc-uit-3.jpg,Thức ăn đường phố,,https://www.tripadvisor.com.vn/Restaurant_Review-g293925-d23838907-Reviews-Mini_Bao_Hoc_Mon-Ho_Chi_Minh_City.html,Food,"Mini Bao - Hoc Mon 157/3 Nguyễn Ảnh Thủ, Trung Chánh, Hóc Môn, Thành phố Hồ Chí Minh Việt Nam",
